page_url,form_index,form_id,field_tag,field_type,field_id,field_name,label_text,has_any_label,required,aria_invalid,wcag_3_3_1_status,wcag_3_3_1_violations,wcag_3_3_2_status,wcag_3_3_2_violations,overall_status,total_violations,error_element_id,error_element_role,error_has_role_alert,error_has_aria_live,error_element_text,html_snippet
https://www.bluecaffeine.com/,0,,INPUT,text,,text-826,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,2,,,False,,,"<input type=""text"" name=""text-826"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,0,,INPUT,email,,email-321,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby. | 3.3.2: Personal-data field (email) is missing the autocomplete attribute (WCAG 1.3.5 / 3.3.2 best practice).",FAILED,3,,,False,,,"<input type=""email"" name=""email-321"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-email wpcf7-validates-as-required wpcf7-validates-as-email"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,0,,INPUT,tel,,tel-474,,False,False,false,PASSED,,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby. | 3.3.2: Personal-data field (tel) is missing the autocomplete attribute (WCAG 1.3.5 / 3.3.2 best practice).",FAILED,2,,,False,,,"<input type=""tel"" name=""tel-474"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-tel wpcf7-validates-as-tel"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,0,,INPUT,text,,text-510,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,2,,,False,,,"<input type=""text"" name=""text-510"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,0,,INPUT,submit,,,,False,False,,PASSED,,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,1,,,False,,,"<input type=""submit"" value=""SUBMIT NOW"" class=""wpcf7-form-control wpcf7-submit"">"
https://www.bluecaffeine.com/,1,,INPUT,text,,text-826,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,2,,,False,,,"<input type=""text"" name=""text-826"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,1,,INPUT,email,,email-321,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby. | 3.3.2: Personal-data field (email) is missing the autocomplete attribute (WCAG 1.3.5 / 3.3.2 best practice).",FAILED,3,,,False,,,"<input type=""email"" name=""email-321"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-email wpcf7-validates-as-required wpcf7-validates-as-email"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,1,,INPUT,tel,,tel-474,,False,False,false,PASSED,,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby. | 3.3.2: Personal-data field (tel) is missing the autocomplete attribute (WCAG 1.3.5 / 3.3.2 best practice).",FAILED,2,,,False,,,"<input type=""tel"" name=""tel-474"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-tel wpcf7-validates-as-tel"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,1,,INPUT,text,,text-510,,False,False,false,FAILED,3.3.1: Required field has no aria-describedby — error messages cannot be associated programmatically.,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,2,,,False,,,"<input type=""text"" name=""text-510"" value="""" size=""40"" class=""wpcf7-form-control wpcf7-text wpcf7-validates-as-required"" aria-required=""true"" aria-invalid=""false"">"
https://www.bluecaffeine.com/,1,,INPUT,submit,,,,False,False,,PASSED,,FAILED,"3.3.2: Input has no accessible label — add <label for>, aria-label, or aria-labelledby.",FAILED,1,,,False,,,"<input type=""submit"" value=""SUBMIT NOW"" class=""wpcf7-form-control wpcf7-submit"">"
,,,,,,,,,,,,,,,,,,,,,,
── SUMMARY ──,,,Total fields : 10,PASSED : 0,FAILED : 10,Pass rate : 0.0%,,,,,3.3.1 failed : 6,,3.3.2 failed : 10,,FAILED,20,,,,,,
